primitive_instance,display_name,count,time,eval_direct
"/phylanx/__add$0/1$39$32","add(39, 32)",3,12338595,-1
"/phylanx/__add$1/1$40$32","add(40, 32)",3,9176620,-1
"/phylanx/__add$10/1$73$29","add(73, 29)",3,7072558,-1
"/phylanx/__add$2/1$54$38","add(54, 38)",30,174847409,-1
"/phylanx/__add$3/1$55$60","add(55, 60)",30,89818767,-1
"/phylanx/__add$4/1$56$41","add(56, 41)",30,22928092,-1
"/phylanx/__add$5/1$57$38","add(57, 38)",30,58657114,-1
"/phylanx/__add$6/1$66$38","add(66, 38)",300,1239476040,-1
"/phylanx/__add$7/1$67$60","add(67, 60)",300,464599958,-1
"/phylanx/__add$8/1$68$41","add(68, 41)",300,245003990,-1
"/phylanx/__add$9/1$69$38","add(69, 38)",300,601218845,-1
"/phylanx/__lt$0/1$37$19","lt(37, 19)",4,7484010,-1
"/phylanx/__lt$1/1$42$27","lt(42, 27)",33,60925031,-1
"/phylanx/__lt$2/1$61$27","lt(61, 27)",303,484468591,-1
"/phylanx/__mul$0/1$12$26","mul(12, 26)",1,449052,-1
"/phylanx/__mul$1/1$39$55","mul(39, 55)",3,7456310,-1
"/phylanx/__mul$2/1$40$55","mul(40, 55)",3,7212499,-1
"/phylanx/__ne$0/1$53$40","ne(53, 40)",30,81053971,-1
"/phylanx/__ne$1/1$65$40","ne(65, 40)",300,823169415,-1
"/phylanx/access-argument$0$filepath/0$6$29","access-argument/filepath(6, 29)",1,9097,1
"/phylanx/access-argument$1$row_start/0$6$50","access-argument/row_start(6, 50)",1,27205,1
"/phylanx/access-argument$10$num_factors/1$24$51","access-argument/num_factors(24, 51)",1,16536,1
"/phylanx/access-argument$11$num_factors/1$25$34","access-argument/num_factors(25, 34)",1,11172,1
"/phylanx/access-argument$12$num_factors/1$32$49","access-argument/num_factors(32, 49)",1,11669,1
"/phylanx/access-argument$13$num_factors/1$32$62","access-argument/num_factors(32, 62)",1,11406,1
"/phylanx/access-argument$14$num_factors/1$33$49","access-argument/num_factors(33, 49)",1,11392,1
"/phylanx/access-argument$15$num_factors/1$33$62","access-argument/num_factors(33, 62)",1,11682,1
"/phylanx/access-argument$16$num_factors/1$34$47","access-argument/num_factors(34, 47)",1,11789,1
"/phylanx/access-argument$17$num_factors/1$34$60","access-argument/num_factors(34, 60)",1,11657,1
"/phylanx/access-argument$18$num_factors/1$35$47","access-argument/num_factors(35, 47)",1,11448,1
"/phylanx/access-argument$19$iterations/1$37$23","access-argument/iterations(37, 23)",4,47954,1
"/phylanx/access-argument$2$row_stop/0$6$62","access-argument/row_stop(6, 62)",1,8092,1
"/phylanx/access-argument$20$regularization/1$39$55","access-argument/regularization(39, 55)",3,35805,1
"/phylanx/access-argument$21$regularization/1$40$55","access-argument/regularization(40, 55)",3,36708,1
"/phylanx/access-argument$22$enable_output/1$44$36","access-argument/enable_output(44, 36)",30,293364,1
"/phylanx/access-argument$3$col_start/0$7$25","access-argument/col_start(7, 25)",1,10192,1
"/phylanx/access-argument$4$col_stop/0$7$37","access-argument/col_stop(7, 37)",1,7159,1
"/phylanx/access-argument$5$ratings/1$10$37","access-argument/ratings(10, 37)",1,30807,1
"/phylanx/access-argument$6$ratings/1$11$37","access-argument/ratings(11, 37)",1,15162,1
"/phylanx/access-argument$7$alpha/1$12$26","access-argument/alpha(12, 26)",1,13636,1
"/phylanx/access-argument$8$ratings/1$12$34","access-argument/ratings(12, 34)",1,11116,1
"/phylanx/access-argument$9$num_factors/1$23$51","access-argument/num_factors(23, 51)",1,15809,1
"/phylanx/access-variable$0$num_items/1$14$52","access-variable/num_items(14, 52)",1,89323,1
"/phylanx/access-variable$1$num_users/1$15$51","access-variable/num_users(15, 51)",1,91217,1
"/phylanx/access-variable$10$num_items/1$26$34","access-variable/num_items(26, 34)",1,522049,1
"/phylanx/access-variable$11$num_users/1$27$34","access-variable/num_users(27, 34)",1,469377,1
"/phylanx/access-variable$12$k/1$37$19","access-variable/k(37, 19)",4,1618802,1
"/phylanx/access-variable$13$YtY/1$39$27","access-variable/YtY(39, 27)",0,0,1
"/phylanx/access-variable$14$Y/1$39$46","access-variable/Y(39, 46)",3,1829410,1
"/phylanx/access-variable$15$Y/1$39$50","access-variable/Y(39, 50)",3,3397219,1
"/phylanx/access-variable$16$I_f/1$39$70","access-variable/I_f(39, 70)",3,2739691,1
"/phylanx/access-variable$17$XtX/1$40$27","access-variable/XtX(40, 27)",0,0,1
"/phylanx/access-variable$18$X/1$40$46","access-variable/X(40, 46)",3,1702711,1
"/phylanx/access-variable$19$X/1$40$50","access-variable/X(40, 50)",3,2431412,1
"/phylanx/access-variable$2$num_items/1$17$49","access-variable/num_items(17, 49)",1,90319,1
"/phylanx/access-variable$20$I_f/1$40$70","access-variable/I_f(40, 70)",3,6619521,1
"/phylanx/access-variable$21$u/1$42$27","access-variable/u(42, 27)",33,15086858,1
"/phylanx/access-variable$22$num_users/1$42$31","access-variable/num_users(42, 31)",33,37075492,1
"/phylanx/access-variable$23$k/1$46$67","access-variable/k(46, 67)",0,0,1
"/phylanx/access-variable$24$X/1$47$60","access-variable/X(47, 60)",0,0,1
"/phylanx/access-variable$25$Y/1$48$60","access-variable/Y(48, 60)",0,0,1
"/phylanx/access-variable$26$conf_u/1$51$35","access-variable/conf_u(51, 35)",0,0,1
"/phylanx/access-variable$27$conf/1$51$53","access-variable/conf(51, 53)",30,14527968,1
"/phylanx/access-variable$28$u/1$51$59","access-variable/u(51, 59)",30,27372615,1
"/phylanx/access-variable$29$c_u/1$52$35","access-variable/c_u(52, 35)",0,0,1
"/phylanx/access-variable$3$num_items/1$17$60","access-variable/num_items(17, 60)",1,71793,1
"/phylanx/access-variable$30$conf_u/1$52$45","access-variable/conf_u(52, 45)",30,29982060,1
"/phylanx/access-variable$31$p_u/1$53$35","access-variable/p_u(53, 35)",0,0,1
"/phylanx/access-variable$32$conf_u/1$53$45","access-variable/conf_u(53, 45)",30,15250861,1
"/phylanx/access-variable$33$A/1$54$35","access-variable/A(54, 35)",0,0,1
"/phylanx/access-variable$34$Y/1$54$56","access-variable/Y(54, 56)",30,16760541,1
