primitive_instance,display_name,count,time,eval_direct
"/phylanx/__add$0/1$39$32","add(39, 32)",3,6279306,0
"/phylanx/__add$1/1$40$32","add(40, 32)",3,5205220,0
"/phylanx/__add$10/1$73$29","add(73, 29)",3,915049,0
"/phylanx/__add$2/1$54$38","add(54, 38)",30,126336645,0
"/phylanx/__add$3/1$55$60","add(55, 60)",30,22664566,0
"/phylanx/__add$4/1$56$41","add(56, 41)",30,8936255,0
"/phylanx/__add$5/1$57$38","add(57, 38)",30,9025440,0
"/phylanx/__add$6/1$66$38","add(66, 38)",300,692334825,0
"/phylanx/__add$7/1$67$60","add(67, 60)",300,154400145,0
"/phylanx/__add$8/1$68$41","add(68, 41)",300,89120056,-1
"/phylanx/__add$9/1$69$38","add(69, 38)",300,90553599,0
"/phylanx/__lt$0/1$37$19","lt(37, 19)",4,1930966,0
"/phylanx/__lt$1/1$42$27","lt(42, 27)",33,16873099,0
"/phylanx/__lt$2/1$61$27","lt(61, 27)",303,155797110,0
"/phylanx/__mul$0/1$12$26","mul(12, 26)",1,565439,-1
"/phylanx/__mul$1/1$39$55","mul(39, 55)",3,1292792,0
"/phylanx/__mul$2/1$40$55","mul(40, 55)",3,1276093,0
"/phylanx/__ne$0/1$53$40","ne(53, 40)",30,9312721,0
"/phylanx/__ne$1/1$65$40","ne(65, 40)",300,90265740,0
"/phylanx/access-argument$0$filepath/0$6$29","access-argument/filepath(6, 29)",1,7472,1
"/phylanx/access-argument$1$row_start/0$6$50","access-argument/row_start(6, 50)",1,14149,1
"/phylanx/access-argument$10$num_factors/1$24$51","access-argument/num_factors(24, 51)",1,10704,1
"/phylanx/access-argument$11$num_factors/1$25$34","access-argument/num_factors(25, 34)",1,12644,1
"/phylanx/access-argument$12$num_factors/1$32$49","access-argument/num_factors(32, 49)",1,12686,1
"/phylanx/access-argument$13$num_factors/1$32$62","access-argument/num_factors(32, 62)",1,10348,1
"/phylanx/access-argument$14$num_factors/1$33$49","access-argument/num_factors(33, 49)",1,12943,1
"/phylanx/access-argument$15$num_factors/1$33$62","access-argument/num_factors(33, 62)",1,10359,1
"/phylanx/access-argument$16$num_factors/1$34$47","access-argument/num_factors(34, 47)",1,12493,1
