primitive_instance,display_name,count,time,eval_direct
/phylanx/__add$0/2$44$32,"add(44, 32)",1,516842,-1
/phylanx/__add$1/2$45$32,"add(45, 32)",1,204710,-1
/phylanx/__add$10/2$71$30,"add(71, 30)",1,24237,-1
/phylanx/__add$2/2$52$38,"add(52, 38)",70,34938859,0
/phylanx/__add$3/2$53$60,"add(53, 60)",70,3747575,1
/phylanx/__add$4/2$54$52,"add(54, 52)",70,973053,1
/phylanx/__add$5/2$55$38,"add(55, 38)",70,1015052,1
/phylanx/__add$6/2$64$38,"add(64, 38)",100,13690653,1
/phylanx/__add$7/2$65$60,"add(65, 60)",100,2730464,1
/phylanx/__add$8/2$66$52,"add(66, 52)",100,1092238,1
/phylanx/__add$9/2$67$38,"add(67, 38)",100,1077102,1
/phylanx/__lt$0/2$35$19,"lt(35, 19)",2,116401,1
/phylanx/__lt$1/2$47$27,"lt(47, 27)",71,1483795,1
/phylanx/__lt$2/2$59$27,"lt(59, 27)",101,1616461,1
/phylanx/__mul$0/2$10$26,"mul(10, 26)",1,330067,-1
/phylanx/__mul$1/2$44$55,"mul(44, 55)",1,49355,-1
/phylanx/__mul$2/2$45$55,"mul(45, 55)",1,43355,-1
/phylanx/__ne$0/2$51$40,"ne(51, 40)",70,1190449,1
/phylanx/__ne$1/2$63$40,"ne(63, 40)",100,1269850,1
/phylanx/access-argument$0$filepath/0$6$29,"access-argument/filepath(6, 29)",1,1932,1
/phylanx/access-argument$1$row_start/0$6$50,"access-argument/row_start(6, 50)",1,4381,1
/phylanx/access-argument$10$num_factors/2$22$51,"access-argument/num_factors(22, 51)",1,632,1
/phylanx/access-argument$11$num_factors/2$23$34,"access-argument/num_factors(23, 34)",1,3870,1
/phylanx/access-argument$12$num_factors/2$30$49,"access-argument/num_factors(30, 49)",1,7666,1
/phylanx/access-argument$13$num_factors/2$30$62,"access-argument/num_factors(30, 62)",1,482,1
/phylanx/access-argument$14$num_factors/2$31$49,"access-argument/num_factors(31, 49)",1,4290,1
/phylanx/access-argument$15$num_factors/2$31$62,"access-argument/num_factors(31, 62)",1,270,1
/phylanx/access-argument$16$num_factors/2$32$47,"access-argument/num_factors(32, 47)",1,7324,1
/phylanx/access-argument$17$num_factors/2$32$60,"access-argument/num_factors(32, 60)",1,483,1
/phylanx/access-argument$18$num_factors/2$33$47,"access-argument/num_factors(33, 47)",1,5539,1
/phylanx/access-argument$19$iterations/2$35$23,"access-argument/iterations(35, 23)",2,1417,1
/phylanx/access-argument$2$row_stop/0$6$62,"access-argument/row_stop(6, 62)",1,883,1
/phylanx/access-argument$20$enable_output/2$37$24,"access-argument/enable_output(37, 24)",1,3541,1
/phylanx/access-argument$21$regularization/2$44$55,"access-argument/regularization(44, 55)",1,4875,1
/phylanx/access-argument$22$regularization/2$45$55,"access-argument/regularization(45, 55)",1,915,1
/phylanx/access-argument$3$col_start/0$7$25,"access-argument/col_start(7, 25)",1,1356,1
/phylanx/access-argument$4$col_stop/0$7$37,"access-argument/col_stop(7, 37)",1,460,1
/phylanx/access-argument$5$ratings/2$8$37,"access-argument/ratings(8, 37)",1,5983,1
/phylanx/access-argument$6$ratings/2$9$37,"access-argument/ratings(9, 37)",1,32310,1
/phylanx/access-argument$7$alpha/2$10$26,"access-argument/alpha(10, 26)",1,13470,1
/phylanx/access-argument$8$ratings/2$10$34,"access-argument/ratings(10, 34)",1,770,1
/phylanx/access-argument$9$num_factors/2$21$51,"access-argument/num_factors(21, 51)",1,989,1
/phylanx/access-function$0$read_x/1$9$5,"access-function/read_x(9, 5)",1,1002,1
/phylanx/access-function$1$als_explicit/3$77$5,"access-function/als_explicit(77, 5)",1,471,1
/phylanx/access-variable$0$num_items/2$12$52,"access-variable/num_items(12, 52)",1,58485,1
/phylanx/access-variable$1$num_users/2$13$52,"access-variable/num_users(13, 52)",1,19441,1
/phylanx/access-variable$10$num_items/2$24$34,"access-variable/num_items(24, 34)",1,20884,1
/phylanx/access-variable$11$num_users/2$25$34,"access-variable/num_users(25, 34)",1,10521,1
/phylanx/access-variable$12$k/2$35$19,"access-variable/k(35, 19)",2,16724,1
/phylanx/access-variable$13$k/2$39$56,"access-variable/k(39, 56)",0,0,1
/phylanx/access-variable$14$u/2$39$59,"access-variable/u(39, 59)",0,0,1
/phylanx/access-variable$15$X/2$40$48,"access-variable/X(40, 48)",0,0,1
/phylanx/access-variable$16$Y/2$41$48,"access-variable/Y(41, 48)",0,0,1
/phylanx/access-variable$17$YtY/2$44$27,"access-variable/YtY(44, 27)",0,0,1
/phylanx/access-variable$18$Y/2$44$46,"access-variable/Y(44, 46)",1,12198,1
/phylanx/access-variable$19$Y/2$44$50,"access-variable/Y(44, 50)",1,16860,1
/phylanx/access-variable$2$num_items/2$15$49,"access-variable/num_items(15, 49)",1,18322,1
/phylanx/access-variable$20$I_f/2$44$72,"access-variable/I_f(44, 72)",1,6851,1
/phylanx/access-variable$21$XtX/2$45$27,"access-variable/XtX(45, 27)",0,0,1
/phylanx/access-variable$22$X/2$45$46,"access-variable/X(45, 46)",1,12001,1
/phylanx/access-variable$23$X/2$45$50,"access-variable/X(45, 50)",1,6779,1
/phylanx/access-variable$24$I_f/2$45$72,"access-variable/I_f(45, 72)",1,7930,1
/phylanx/access-variable$25$u/2$47$27,"access-variable/u(47, 27)",71,449676,1
/phylanx/access-variable$26$num_users/2$47$31,"access-variable/num_users(47, 31)",71,304605,1
/phylanx/access-variable$27$conf_u/2$49$35,"access-variable/conf_u(49, 35)",0,0,1
/phylanx/access-variable$28$conf/2$49$53,"access-variable/conf(49, 53)",70,677836,1
/phylanx/access-variable$29$u/2$49$59,"access-variable/u(49, 59)",70,231472,1
/phylanx/access-variable$3$num_items/2$15$60,"access-variable/num_items(15, 60)",1,2937,1
/phylanx/access-variable$30$c_u/2$50$35,"access-variable/c_u(50, 35)",0,0,1
/phylanx/access-variable$31$conf_u/2$50$45,"access-variable/conf_u(50, 45)",70,375013,1
/phylanx/access-variable$32$p_u/2$51$35,"access-variable/p_u(51, 35)",0,0,1
/phylanx/access-variable$33$conf_u/2$51$45,"access-variable/conf_u(51, 45)",70,383660,1
/phylanx/access-variable$34$A/2$52$35,"access-variable/A(52, 35)",0,0,1
/phylanx/access-variable$35$Y/2$52$56,"access-variable/Y(52, 56)",70,699083,1
/phylanx/access-variable$36$c_u/2$52$60,"access-variable/c_u(52, 60)",70,275397,1
/phylanx/access-variable$37$Y/2$52$66,"access-variable/Y(52, 66)",70,868483,1
/phylanx/access-variable$38$YtY/2$52$70,"access-variable/YtY(52, 70)",70,819493,1
/phylanx/access-variable$39$b/2$53$35,"access-variable/b(53, 35)",0,0,1
/phylanx/access-variable$4$num_users/2$16$49,"access-variable/num_users(16, 49)",1,19633,1
/phylanx/access-variable$40$Y/2$53$56,"access-variable/Y(53, 56)",70,783506,1
/phylanx/access-variable$41$c_u/2$53$60,"access-variable/c_u(53, 60)",70,302918,1
/phylanx/access-variable$42$I_i/2$53$66,"access-variable/I_i(53, 66)",70,218984,1
/phylanx/access-variable$43$p_u/2$53$83,"access-variable/p_u(53, 83)",70,815000,1
/phylanx/access-variable$44$u/2$54$49,"access-variable/u(54, 49)",70,657216,1
/phylanx/access-variable$45$u/2$54$52,"access-variable/u(54, 52)",70,436916,1
/phylanx/access-variable$46$X/2$54$41,"access-variable/X(54, 41)",0,0,1
/phylanx/access-variable$47$A/2$54$80,"access-variable/A(54, 80)",70,586208,1
/phylanx/access-variable$48$b/2$54$84,"access-variable/b(54, 84)",70,341424,1
/phylanx/access-variable$49$u/2$55$35,"access-variable/u(55, 35)",0,0,1
/phylanx/access-variable$5$num_users/2$16$60,"access-variable/num_users(16, 60)",1,4776,1
/phylanx/access-variable$50$u/2$55$38,"access-variable/u(55, 38)",70,443654,1
/phylanx/access-variable$51$u/2$58$27,"access-variable/u(58, 27)",0,0,1
/phylanx/access-variable$52$i/2$59$27,"access-variable/i(59, 27)",101,432761,1
/phylanx/access-variable$53$num_items/2$59$31,"access-variable/num_items(59, 31)",101,277433,1
/phylanx/access-variable$54$conf_i/2$61$35,"access-variable/conf_i(61, 35)",0,0,1
/phylanx/access-variable$55$conf/2$61$56,"access-variable/conf(61, 56)",100,755884,1
/phylanx/access-variable$56$i/2$61$62,"access-variable/i(61, 62)",100,298545,1
/phylanx/access-variable$57$c_i/2$62$35,"access-variable/c_i(62, 35)",0,0,1
/phylanx/access-variable$58$conf_i/2$62$45,"access-variable/conf_i(62, 45)",100,447536,1
/phylanx/access-variable$59$p_i/2$63$35,"access-variable/p_i(63, 35)",0,0,1
/phylanx/access-variable$6$num_items/2$17$49,"access-variable/num_items(17, 49)",1,14045,1
/phylanx/access-variable$60$conf_i/2$63$45,"access-variable/conf_i(63, 45)",100,459267,1
/phylanx/access-variable$61$A/2$64$35,"access-variable/A(64, 35)",0,0,1
/phylanx/access-variable$62$X/2$64$56,"access-variable/X(64, 56)",100,706198,1
/phylanx/access-variable$63$c_i/2$64$59,"access-variable/c_i(64, 59)",100,340009,1
/phylanx/access-variable$64$X/2$64$65,"access-variable/X(64, 65)",100,304321,1
/phylanx/access-variable$65$XtX/2$64$70,"access-variable/XtX(64, 70)",100,299560,1
/phylanx/access-variable$66$b/2$65$35,"access-variable/b(65, 35)",0,0,1
/phylanx/access-variable$67$X/2$65$56,"access-variable/X(65, 56)",100,464583,1
/phylanx/access-variable$68$c_i/2$65$60,"access-variable/c_i(65, 60)",100,332379,1
/phylanx/access-variable$69$I_u/2$65$66,"access-variable/I_u(65, 66)",100,279079,1
/phylanx/access-variable$7$num_users/2$18$49,"access-variable/num_users(18, 49)",1,10567,1
/phylanx/access-variable$70$p_i/2$65$83,"access-variable/p_i(65, 83)",100,387762,1
/phylanx/access-variable$71$i/2$66$49,"access-variable/i(66, 49)",100,789158,1
/phylanx/access-variable$72$i/2$66$52,"access-variable/i(66, 52)",100,508934,1
